title,slug,sourceUrl,reason,author,publishedAt
"Compounded Sublingual Semaglutide-45 mg",compounded-sublingual-semaglutide-45-mg,https://journeylite.com/compounded-sublingual-semaglutide-45-mg/,"Meta description missing — excerpt used as suggestion; Body is short (95 words) — review content; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2025-03-31T15:10:49+00:00
"Compounded Sublingual Semaglutide-30 mg",compounded-sublingual-semaglutide-30-mg,https://journeylite.com/compounded-sublingual-semaglutide-30-mg/,"Meta description missing — excerpt used as suggestion; Body is short (102 words) — review content; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2025-03-31T15:10:35+00:00
"Compounded Sublingual Semaglutide-75 mg",compounded-sublingual-semaglutide-75-mg,https://journeylite.com/compounded-sublingual-semaglutide-75-mg/,"Meta description missing — excerpt used as suggestion; Body is short (102 words) — review content; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2025-03-31T13:56:46+00:00
"Compounded Sublingual Semaglutide-60 mg",compounded-sublingual-semaglutide-60-mg,https://journeylite.com/compounded-sublingual-semaglutide-60-mg/,"Meta description missing — excerpt used as suggestion; Body is short (111 words) — review content; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2025-03-31T13:56:21+00:00
"Compounded Sublingual Semaglutide-18mg",compounded-sublingual-semaglutide-18-mg,https://journeylite.com/compounded-sublingual-semaglutide-18-mg/,"Meta description missing — excerpt used as suggestion; Body is short (87 words) — review content; Contains medical/medication content — medical review recommended; Warning: No meta description; Warning: Featured image has no alt text","DrCurry",2025-03-31T13:54:40+00:00
"Hydration and Fat Metabolism",hydration-and-fat-metabolism,https://journeylite.com/hydration-and-fat-metabolism/,"Meta description missing — excerpt used as suggestion; Body is short (64 words) — review content; Warning: No meta description; Warning: No tags; Warning: Featured image has no alt text","Devon RD",2025-03-31T13:30:28+00:00
"Rebeca: Gastric Sleeve Before and After",rebeca-gastric-sleeve-before-and-after,https://journeylite.com/rebeca-gastric-sleeve-before-and-after/,"Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2025-03-20T14:53:26+00:00
"Eli Lilly's New Single-Dose Zepbound Vials: A More Cost-Effective Solution for Patients",eli-lillys-new-single-dose-zepbound-vials-a-more-cost-effective-solution-for-patients,https://journeylite.com/eli-lillys-new-single-dose-zepbound-vials-a-more-cost-effective-solution-for-patients/,"Contains medical/medication content — medical review recommended; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2025-03-18T14:14:01+00:00
"Jack's Gastric Sleeve Journey",jacks-gastric-sleeve-journey,https://journeylite.com/jacks-gastric-sleeve-journey/,"Body is short (47 words) — review content; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2025-03-07T15:57:48+00:00
"Tracy: Gastric Sleeve Before and After",tracy-gastric-sleeve-before-and-after,https://journeylite.com/tracy-gastric-sleeve-before-and-after/,"Contains medical/medication content — medical review recommended; Contains before/after references — check images for sensitive content; Warning: No tags; Warning: Featured image has no alt text","DrCurry",2025-02-24T14:51:44+00:00
